,winner_ht,winner_age,loser_ht,loser_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
winner_ht,1.0,-0.06367629908420319,0.015648476951491228,0.019898002017726565,-0.022000837253594974,0.26133039928138146,0.043856830245314456,0.003004418522215023,-0.02921220661345277,0.02907575886912415,0.059789849770149006,0.0031192120175856657,-0.025307910793720613,-0.054846719791118485,-0.008031411793380046,-0.02645505268998702,0.018416054730153755,0.024782228984652783,0.06294572800482305,0.020929564853140882,-0.0037448804284058697,0.04629408630789616,-0.004627469120928666,-0.08222664915947808,0.10697135603597281,-0.06400683728257123,0.07235399333314757
winner_age,-0.06367629908420319,1.0,0.0045795680648237575,0.1288808507403624,0.01961862545203458,-0.05810051140259556,-0.003375463677880757,-0.007305905065537101,0.026091174059637588,0.017725658902176023,-0.08764585671603115,-0.0012997127589726002,0.019113409120606318,0.03061542067218047,0.009769922591903075,-0.017946622525310704,-0.003059790781918617,-0.00699023677437034,-0.0353648493946812,0.02357221429839763,0.0054559648656220565,0.0033103932458057135,0.020496820966540274,-0.3177583552972189,0.2635849062712003,-0.2104095025196031,0.18106548888128393
loser_ht,0.015648476951491228,0.0045795680648237575,1.0,-0.05419150292875975,-0.028687613703222224,-0.012162214990139784,0.03353208057510217,-0.011383679728890471,-0.008747782048443517,0.03555874541088737,0.0014394256144144245,0.006526671652973819,-0.028080430521779,-0.05719441635825462,0.3062978555359314,0.0580327290206863,0.006700803847070494,-0.03498960270464634,0.032152902936804,0.05376460402851391,0.006277067146175045,0.016243812158335456,-0.043109413749598584,-0.06720578394557228,0.06590306212196599,-0.09132130390620995,0.10477059290895845
loser_age,0.019898002017726565,0.1288808507403624,-0.05419150292875975,1.0,0.023186876307643697,0.02112039953806976,0.021618329097897335,-0.002948286089784477,-0.0004487235468735004,-0.010982293353703878,0.007994063632878086,-0.004366584448304272,-0.002053358568114549,0.003271925568815544,-0.01581940684293247,-0.06259649671706025,-0.01351420623928505,0.02617812584192122,0.010860794062007741,-0.04627609213404024,-0.012264338282520704,-0.005669568012120057,-0.004430694378400801,-0.24412121158348124,0.21985309812769155,-0.3088363467498587,0.2455752322216467
minutes,-0.022000837253594974,0.01961862545203458,-0.028687613703222224,0.023186876307643697,1.0,0.11537087828817247,0.43203349858730883,0.8946911955348452,0.8284584869037175,0.7748633142660789,0.5489269109804288,0.6357737433150253,0.5445725603954396,0.7058364213451002,0.2828549234098506,0.2473306008598551,0.8866980628525339,0.8156640674370647,0.810064445195071,0.678693560671292,0.6454207193704251,0.40702887143931676,0.45924134451545173,0.05673856931005352,-0.05515207692927825,-0.07363037461167571,0.042920262903930015
w_ace,0.26133039928138146,-0.05810051140259556,-0.012162214990139784,0.02112039953806976,0.11537087828817247,1.0,0.11368939854405809,0.1990229487922102,0.08275916292877891,0.22044507378489792,0.3092671877216217,0.14780286552432842,0.08500347052281218,0.031792181965494895,0.14406259347428935,-0.0005344567502268372,0.17888194077391348,0.17488199182520775,0.24789947242639043,0.20026224126387912,0.1310673530175266,0.04122526389849266,-0.04811940464059194,-0.033855252253765566,0.06410086571672322,-0.052959058113128524,0.034249404408145924
w_df,0.043856830245314456,-0.003375463677880757,0.03353208057510217,0.021618329097897335,0.43203349858730883,0.11368939854405809,1.0,0.46843571841206927,0.32080872582681225,0.32135284540124154,0.30839200112963344,0.2844185871247593,0.3716670279358499,0.458238407911708,0.12260846531254566,0.20989463523585036,0.3942887552245515,0.341934507019778,0.32897412861486186,0.28964575276135685,0.28713409828806247,0.18636096138493258,0.2519454968330494,0.06712349363930728,-0.05760753843663049,0.007816406194261175,0.020112950075126184
w_svpt,0.003004418522215023,-0.007305905065537101,-0.011383679728890471,-0.002948286089784477,0.8946911955348452,0.1990229487922102,0.46843571841206927,1.0,0.9275459606708928,0.885173543627054,0.6153567050818113,0.6619524684652739,0.6707991698294551,0.7856951596832727,0.3174449426797512,0.23782167570208151,0.8328390890841082,0.7645276251322863,0.7919505663004274,0.6612029186156965,0.6542361206315234,0.29993507191445345,0.34398554521660835,0.05844935422332488,-0.05955047903955399,-0.10742092776539584,0.07575302706137575
w_1stIn,-0.02921220661345277,0.026091174059637588,-0.008747782048443517,-0.0004487235468735004,0.8284584869037175,0.08275916292877891,0.32080872582681225,0.9275459606708928,1.0,0.9369361749613061,0.3432205949178656,0.6169772960095056,0.6179621128845955,0.7310715999353559,0.2850277933232544,0.19078227956159308,0.7679392793713377,0.7175357667492738,0.7335647166147393,0.590689750420395,0.6100103205081445,0.26975203171426554,0.32019285666734737,0.0637612939179595,-0.0800256484582502,-0.11021912156655193,0.07809899412635538
w_1stWon,0.02907575886912415,0.017725658902176023,0.03555874541088737,-0.010982293353703878,0.7748633142660789,0.22044507378489792,0.32135284540124154,0.885173543627054,0.9369361749613061,1.0,0.3345930460678234,0.598871218173792,0.5457905690736354,0.5948265240809558,0.3545692687458831,0.15293782822083482,0.7434191897719666,0.6866775137578064,0.7575675624421634,0.6268910172906653,0.5853981373783516,0.24059407452356252,0.21624925510575016,0.06594178909617264,-0.06854187351927515,-0.09706337902521298,0.06635154495690586
